date,spot_price,futures_price,future_continuous,futures_expiry,basis_absolute,basis_percent,annualized_basis,days_to_expiry
2025-12-15,86432.08,87400.00,87157.00,2026-02-27,967.92,1.12,5.60,73
2025-12-16,87863.42,88680.00,88991.00,2026-02-27,816.58,0.93,4.71,72
2025-12-17,86243.22,86880.00,87136.00,2026-02-27,636.78,0.74,3.80,71
2025-12-18,85516.41,86500.00,85976.00,2026-02-27,983.59,1.15,6.00,70
2025-12-19,88136.94,89000.00,89260.00,2026-02-27,863.06,0.98,5.18,69
2025-12-22,88620.79,89275.00,89594.00,2026-02-27,654.21,0.74,4.08,66
2025-12-23,87486.00,88530.00,88880.00,2026-02-27,1044.00,1.19,6.70,65
2025-12-24,87669.45,88225.00,88434.00,2026-02-27,555.55,0.63,3.61,64
2025-12-26,87369.56,88335.00,88645.00,2026-02-27,965.44,1.11,6.51,62
2025-12-29,87237.13,88005.00,88242.00,2026-02-27,767.87,0.88,5.45,59
2025-12-30,88485.49,89045.00,88948.00,2026-02-27,559.51,0.63,3.98,58
2025-12-31,87648.22,88405.00,88570.00,2026-02-27,756.78,0.86,5.53,57
2026-01-02,89995.13,90900.00,90893.00,2026-02-27,904.87,1.01,6.67,55
2026-01-05,93859.71,94915.00,95322.00,2026-02-27,1055.29,1.12,7.89,52
2026-01-06,93747.97,93805.00,93518.00,2026-02-27,57.03,0.06,0.44,51
2026-01-07,91364.16,91770.00,91946.00,2026-02-27,405.84,0.44,3.24,50
2026-01-08,91099.99,91975.00,91815.00,2026-02-27,875.01,0.96,7.15,49
2026-01-09,90641.28,91060.00,91109.00,2026-02-27,418.72,0.46,3.51,48
2026-01-12,91296.20,91495.00,92374.00,2026-02-27,198.80,0.22,1.77,45
2026-01-13,95414.00,94775.00,95453.00,2026-02-27,-639.00,-0.67,-5.56,44
2026-01-14,96951.78,98100.00,98728.00,2026-02-27,1148.22,1.18,10.05,43
2026-01-15,95604.80,96035.00,96098.00,2026-02-27,430.20,0.45,3.91,42
2026-01-16,95550.94,96050.00,96410.00,2026-02-27,499.06,0.52,4.65,41
2026-01-20,88427.66,89795.00,90364.00,2026-02-27,1367.34,1.55,15.25,37
2026-01-21,89454.73,90750.00,90933.00,2026-02-27,1295.27,1.45,14.68,36
2026-01-22,89559.67,89750.00,90142.00,2026-02-27,190.33,0.21,2.22,35
2026-01-23,89600.26,89680.00,90197.00,2026-02-27,79.74,0.09,0.96,34
2026-01-26,88347.08,88400.00,88268.00,2026-02-27,52.92,0.06,0.71,31
2026-01-27,89250.00,89435.00,90087.00,2026-02-27,185.00,0.21,2.52,30
2026-01-28,89299.99,89735.00,89774.00,2026-02-27,435.01,0.49,6.13,29
2026-01-29,84650.16,84710.00,84710.00,2026-02-27,59.84,0.07,0.92,28
2026-01-30,84260.49,84640.00,84640.00,2026-02-27,379.51,0.45,6.09,27
2026-02-02,78738.61,78755.00,78755.00,2026-02-27,16.39,0.02,0.32,24
2026-02-03,75770.21,76420.00,76420.00,2026-02-27,649.79,0.86,13.61,23
2026-02-04,73165.83,72795.00,72795.00,2026-02-27,-370.83,-0.51,-8.41,22
2026-02-05,62909.86,63270.00,63270.00,2026-02-27,360.14,0.57,9.95,21
2026-02-06,70580.26,70505.00,70505.00,2026-02-27,-75.26,-0.11,-1.95,20
2026-02-09,70138.00,70565.00,70565.00,2026-02-27,427.00,0.61,13.07,17
